"filename", "language", "Java", "XML", "Docker", "pip requirements", "Markdown", "Python", "PowerShell", "Java Properties", "Batch", "Properties", "MS SQL", "HTML", "JavaScript", "JSON", "PostCSS", "comment", "blank", "total"
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\diet\DietLogBatchRequest.java", "Java", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 65
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\diet\DietSuggestionResponse.java", "Java", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\identity\DigitalIDCardDTO.java", "Java", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 26
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\identity\VerificationResponseDTO.java", "Java", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 21
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\profile\AcademicRecordDTO.java", "Java", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\profile\AdminUpdateStudentProfileRequest.java", "Java", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 68
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\profile\StudentDocumentDTO.java", "Java", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\profile\StudentProfileResponseDTO.java", "Java", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 112
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\profile\StudentSelfUpdateProfileRequest.java", "Java", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\student\StudentProfileDTO.java", "Java", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 135
"f:\Coding\studentmanagement\src\main\java\com\sms\model\AcademicRecord.java", "Java", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Admin.class", "Java", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Admin.java", "Java", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 26
"f:\Coding\studentmanagement\src\main\java\com\sms\model\AnalyticsSnapshot.java", "Java", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 108
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Attendance.java", "Java", 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57, 236
"f:\Coding\studentmanagement\src\main\java\com\sms\model\CampusLocation.java", "Java", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19, 76
"f:\Coding\studentmanagement\src\main\java\com\sms\model\ClassSession.java", "Java", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 90
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Course.class", "Java", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Course.java", "Java", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 54
"f:\Coding\studentmanagement\src\main\java\com\sms\model\DietLog.java", "Java", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 91
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Enrollment.java", "Java", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46
"f:\Coding\studentmanagement\src\main\java\com\sms\model\FaceData.java", "Java", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 68
"f:\Coding\studentmanagement\src\main\java\com\sms\model\FraudLog.java", "Java", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 92
"f:\Coding\studentmanagement\src\main\java\com\sms\model\LoginUser.java", "Java", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 36
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Person.class", "Java", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Person.java", "Java", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Role.java", "Java", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"f:\Coding\studentmanagement\src\main\java\com\sms\model\SecurityAudit.java", "Java", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32, 107
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Student.class", "Java", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Student.java", "Java", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 172
"f:\Coding\studentmanagement\src\main\java\com\sms\model\StudentDocument.java", "Java", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 54
"f:\Coding\studentmanagement\src\main\java\com\sms\model\StudentLocation.java", "Java", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 93
"f:\Coding\studentmanagement\src\main\java\com\sms\model\StudentProfile.java", "Java", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 160
"f:\Coding\studentmanagement\src\main\java\com\sms\model\StudentTask.java", "Java", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 67
"f:\Coding\studentmanagement\src\main\java\com\sms\model\TaskItem.java", "Java", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 81
"f:\Coding\studentmanagement\src\main\java\com\sms\model\TaskStatus.java", "Java", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Teacher.java", "Java", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36
"f:\Coding\studentmanagement\src\main\java\com\sms\model\User.java", "Java", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 40
